DESCRIPTION,PREDICTED_FAULTTYPE,PREDICTED_SUBFAULTTYPE
Customer reported Internet Not working via WhatsApp. ONT is observed to be RED. Please check,ONT,RED
Customer reported Internet Not working via WhatsApp. ONT is observed to be RED. Please check,ONT,RED
Customer reported Internet Not working via WhatsApp. ONT is observed to be RED. Please check,ONT,RED
Customer reported Internet Not working via WhatsApp. ONT is observed to be RED. Please check,ONT,RED
Customer reported Internet Not working via WhatsApp. ONT is observed to be RED. Please check,ONT,RED
Customer reported Internet Not working via WhatsApp. ONT is observed to be RED. Please check,ONT,RED
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
Ahmed Tahir Khan : Please call and create a ticket and forward to Bilal Complaint Manager,Frequent Disconnections,Wireless
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
"ONT device replacement with new ONT
Rs.8000/-
	sal-in	003245063287	18:52:07	0:00	0:00	2:30	arsal.salamat",ONT,Replacement
